"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.253888474133069,0.0343261135152425,35.4926272911733,-7.39636527800709,1.08840721759734e-08
"dors_curv",0.00293286319610859,0.000345365608907243,52.4114948235336,8.49205340794743,2.01422269575764e-11
"group_idsviolaceum",-0.0103565619868224,0.0519306840619606,44.1429730842775,-0.19943049420388,0.842841830469535
"dors_curv:group_idsviolaceum",-0.000141736253965198,0.000530269608650456,52.2914922205535,-0.267290924565559,0.790296575560741
