"","name","arclength","total_curvature","adjusted_curvature"
"1","K_1_1_1",19.4564943428268,5.64244072980686,0.290002948649745
"2","K_1_4_3",18.5022622628199,3.83348729060071,0.207190193077312
"3","K_1_6_1",14.9126176894656,5.3898163962533,0.361426579054641
"4","K_1_6_2",6.57592542413532,22.060906478078,3.35479876294048
"5","K_1_6_3",13.9338806877185,7.47743253027208,0.536636755965824
"6","K_1_7_1",10.6468126221745,14.7476964852438,1.38517479442892
"7","K_1_8_1",4.8227424594552,23.1825929535496,4.80693156403141
"8","K_1_8_2",5.81223941887449,16.3286578623443,2.80935740694354
"9","K_1_8_3",3.71399076662788,20.1068362754546,5.41380890230662
"10","K_1_9_1",16.0551755933053,5.22204576773507,0.325256222667074
"11","K_2_1_1",15.1391048708662,6.07789394243347,0.401469835520449
"12","K_2_3_1",12.6467079279748,6.49844593250341,0.513844865360471
"13","K_2_3_2",1.79031538822349,23.5383862870178,13.1476199343707
"14","K_2_3_3",1.22734544303748,69.2199822231405,56.3981254143353
"15","K_2_3_7",11.8156316279996,6.00905659631338,0.508568376664152
"16","K_2_5_1",4.04333897616982,16.6810207386591,4.12555584307224
"17","K_2_7_1",10.6041179178743,11.3075441678682,1.06633519689632
"18","K_2_8_1",13.3815346764629,7.01445441933015,0.524189085103074
"19","K_2_8_2",15.5433376562422,3.16620159488467,0.203701525689569
"20","K_2_9_1",9.60568008175346,10.445406460711,1.08741977369751
"21","K_2_9_2",2.90992096812222,22.5220523248213,7.73974708301265
"22","K_2_9_3",1.94268159460675,33.7574200221869,17.3767127438196
"23","K_2_10_1",3.76246895632137,21.6251584087639,5.74759782999171
"24","K_2_10_2",9.5938539114143,14.0489132538033,1.46436597675191
"25","K_2_10_3",13.1752435168872,8.65788192849395,0.657132592456211
"26","K_2_11_1",12.0737408241211,9.15514643892459,0.758269253273541
"27","K_2_11_2",12.1319972163058,7.09347024549271,0.584691054491741
"28","K_2_12_1",10.101720177605,8.75654808658521,0.866837324003295
"29","K_2_12_2",10.0712477693391,9.98760660881195,0.991695054829076
"30","K_2_12_3",12.5311598684435,8.7180356494098,0.695708596884468
"31","V_1_2_1",12.3942825020193,7.27810249606,0.587214507566228
"32","V_1_2_2",8.18723707998636,13.4989647602234,1.64878146660997
"33","V_1_2_3",7.48521171220585,11.6468426538711,1.55598039196127
"34","V_1_3_1",15.9028887114631,4.47254286821213,0.28124090845132
"35","V_1_3_2",16.7111385138497,4.76772516673183,0.285302234960262
"36","V_1_3_4",14.8556710901373,7.65512669301067,0.515299958282794
"37","V_2_1_10",12.4624992858882,7.12511519982877,0.571724421914054
"38","V_2_1_11",11.2543065477947,3.70882054790107,0.329546785681595
"39","V_2_1_12",10.99048697481,8.71386188471616,0.792854939429725
"40","V_2_3_1",9.95524554472086,11.04311964594,1.10927647101542
"41","V_2_3_2",14.0350325259458,8.04083938326627,0.572912059049497
"42","V_2_3_3",4.20729292863931,16.4867000990557,3.91860048223163
"43","V_2_3_4",4.99636755470615,13.2442152791706,2.65076881037218
"44","V_2_3_5",4.87733081276281,13.0088683939238,2.66721058983382
"45","V_2_3_6",6.65973019093616,9.23192503478154,1.38623108896305
"46","V_2_3_7",12.2686580923815,5.55170421388447,0.45251111996771
"47","V_2_4_1",16.9177016447148,5.13911640335357,0.303771547180528
"48","V_2_4_2",12.4702472759026,6.51105056243525,0.522126820613825
"49","V_2_4_3",14.9878136250042,5.96630141466486,0.398076835217063
"50","V_2_4_4",13.3344463111413,6.48329394445227,0.486206460558869
"51","V_2_4_5",13.2307516332152,7.47426132541263,0.564915851541556
"52","V_2_5_1",10.1535547207973,12.7433220319503,1.25506016192028
"53","V_2_5_2",13.5477504951877,5.22059489439995,0.385347729592036
"54","V_2_5_3",11.7369705931897,4.42291978600414,0.376836573874566
"55","V_2_5_4",13.9949319370482,7.09217449875957,0.506767344826075
"56","V_4_1_1",9.93949483653459,7.09294893622408,0.713612618435349
"57","V_4_1_2",16.0176120619354,3.91464944642116,0.244396569930921
