"","arclength","total_curvature","adjusted_curvature"
"1",21.5305351611854,4.26913987436506,0.198283035809595
"2",19.6541560165102,2.81322921561026,0.14313660750668
"3",20.3757313295979,2.87318322691033,0.141010066359519
"4",15.7341035557438,5.75316774095314,0.365649540856932
"5",5.6027168075274,24.4793900109045,4.36919995278287
"6",17.3507299633106,4.66966136824659,0.269133424249063
"7",11.1721334830825,7.03289531870027,0.629503337867372
"8",6.90618745976436,12.8073366397384,1.8544727773977
"9",8.89021006750427,14.8563015390291,1.67108554536099
"10",7.19745324904564,11.3061525069044,1.57085459476984
"11",21.5127566108719,2.86682643605224,0.133261696206958
"12",18.9966652981762,6.15729435828433,0.324125011502702
"13",14.2912035833307,6.65462761495046,0.465645008564039
"14",4.34137742615132,14.3601782838217,3.3077470291617
"15",3.53243175638854,16.7425904432233,4.73967838527769
"16",16.0990712293024,4.09013022886832,0.254060011948002
"17",6.44669953143112,14.8410047640141,2.30210896159441
"18",11.0281423402715,10.5582291686441,0.957389634887881
"19",16.9670828272918,4.64253922194481,0.273620354730468
"20",21.673102180406,1.99417498113362,0.0920115156812433
"21",13.8969775441924,8.37026719925841,0.602308464026868
"22",5.38339165655959,21.4246211549877,3.97976267041283
"23",4.11892210251369,28.271687816183,6.86385591000359
"24",4.88131867097212,33.029478586775,6.76650733401045
"25",11.2065050234121,13.1834831500998,1.17641344224248
"26",14.6972880052929,5.99092127750821,0.407620866880387
"27",15.6095566516606,5.12891273881397,0.328575170536207
"28",14.2003726343116,6.11587208750775,0.430683915486154
"29",14.781888236537,5.26648489594013,0.356279577525336
"30",13.8581635843884,7.1487463043487,0.515850910607085
"31",14.7261737770338,6.08224982963645,0.413023092198058
"32",17.6431752121085,6.52281030013116,0.369707278974057
"33",11.3170784341231,9.24768202067214,0.817143936441109
"34",13.0930406629383,6.77326424824628,0.517317896019291
"35",16.7610784367602,4.04340220713405,0.241237592341679
"36",14.2405775352613,3.3150229770789,0.23278711617352
"37",16.698739120946,5.39506153930564,0.323081970454785
"38",16.4182679283448,3.96631608317241,0.241579446777384
"39",16.9597796810862,3.57352437069322,0.210705825069088
"40",16.0687916184002,4.40519014661237,0.274145701259082
"41",12.7532800180805,8.20888017269544,0.643668151334996
"42",19.5765931065646,5.46378369052741,0.2790977807418
"43",8.06218250882162,10.3961548781429,1.28949634503652
"44",8.99670100179506,7.12734441539709,0.792217548852075
"45",9.13128572264136,8.60516160129591,0.942382251817956
"46",11.0313648488473,6.55945980195172,0.594619060454442
"47",18.073945891833,3.34260754617893,0.184940663548702
"48",21.6853306977212,4.28798988187526,0.197736891433519
"49",17.6057817747724,3.79204895222703,0.215386570203927
"50",15.1554076409994,4.47006082070451,0.294948240693429
"51",17.3785305063867,4.15302612664853,0.238974528089257
"52",18.0944630578763,4.84292742630767,0.267646926621545
"53",12.2312687608585,7.78097906342743,0.636154696259106
"54",18.45384205858,3.36129353377705,0.182146000984886
"55",18.7590596521077,3.88082515422233,0.206877382245879
"56",19.631406906806,4.64106542229535,0.236410230011907
"57",16.5369525503643,5.79767039103671,0.35058880246403
"58",19.6403904227302,3.57451417564971,0.181998122171383
