"","arclength","total_curvature","species_individual_panicle_flower","adjusted_curvature"
"1",17.4441599006697,915.208511360187,"G_1_1_2",52.4650379594978
"2",19.4573216859876,553.019195601336,"G_1_1_13",28.4221643927282
"3",18.8334190338457,468.947442765231,"G_1_1_14",24.8997509120613
"4",16.0467941335995,575.155470123058,"G_1_1_17",35.8423910305405
"5",19.0496719521426,360.165806842736,"G_1_2_1",18.9066671461619
"6",18.7683730726121,435.774639579584,"G_1_2_4",23.21856230658
"7",20.2088359834688,880.734571511981,"G_1_2_6",43.5816576586814
"8",18.7635177114259,605.13835445155,"G_1_2_7",32.2507945342816
"9",20.1356681955351,393.245060762461,"G_1_2_8",19.5297745743377
"10",20.0564897759263,675.232629450406,"G_1_2_9",33.6665407054869
"11",20.4105836567478,393.580895971996,"G_1_2_10",19.2831769336433
"12",19.1320373270134,422.613434283887,"G_1_2_11",22.0893063849076
"13",19.8985686433871,401.04873572324,"G_1_3_4",20.1546524732834
"14",19.2882462609383,598.93300562625,"G_1_3_5",31.0517087724654
"15",14.2403929920322,1686.31721240267,"G_1_4_2",118.417884488595
"16",18.7744107531235,624.710895424098,"G_1_4_3",33.2745940013145
"17",19.2046176370704,456.217763128917,"G_1_4_4",23.7556285550975
"18",18.4385345097874,322.968620963396,"G_1_4_5",17.5159593508888
"19",12.1362522580532,1852.78561425439,"G_1_4_6",152.665384243719
