"","name","arclength","total_curvature","adjusted_curvature","perimeter"
"1","K_1_1_1",22.3657070691737,3.62940484086411,0.16227543487174,22.3624336888772
"2","K_1_4_3",20.3517692380059,2.61878170653201,0.128675874608561,20.3468954206658
"3","K_1_6_1",16.5195282050901,5.32469390644142,0.322327238425655,16.5223706424889
"4","K_1_6_2",10.5730720296597,13.4423711113727,1.27137799436757,11.04773184935
"5","K_1_6_3",17.370633056229,4.74449775632298,0.273133266989462,17.3920854558854
"6","K_1_7_1",14.3005820709282,8.91175680267519,0.623174410557176,14.7701935417694
"7","K_1_8_1",9.42424806317607,14.4030868233528,1.52830090282012,9.5580394071042
"8","K_1_8_2",10.4007137250105,11.8438450570524,1.13875310581538,10.4963274937428
"9","K_1_8_3",7.46698511898191,13.9847485225739,1.87287751344557,7.53868756478554
"10","K_1_9_1",21.6118913665951,2.95428887416538,0.136697377571115,21.6597222682674
"11","K_2_1_1",20.1025015477238,4.27333263835528,0.212577157534862,20.1359692845908
"12","K_2_3_1",15.6509899691025,4.47352023510617,0.285829857659969,15.6716064029012
"13","K_2_3_2",4.46506435936124,19.2396885286864,4.30893868043568,4.46417726213322
"14","K_2_3_3",3.57143210700024,19.6896597084478,5.51309926061727,3.57627959403783
"15","K_2_3_7",15.9624789290832,4.19013037090262,0.262498725261797,15.9905259810132
"16","K_2_5_1",9.12846173108372,13.6541163631932,1.4957740707505,9.20596300749737
"17","K_2_7_1",14.834862832736,8.00751559629126,0.539776854466164,14.9054973214234
"18","K_2_8_1",17.6441422610918,5.00930034204184,0.283907274602301,17.6498475503909
"19","K_2_8_2",21.6742793065348,2.19440280543515,0.101244556942363,21.6774258144742
"20","K_2_9_1",14.7180991996143,6.9719362285007,0.473698140904187,14.7389801460315
"21","K_2_9_2",6.02627321738394,16.4510594361961,2.72988940971674,6.04544435007384
"22","K_2_9_3",4.39798918291782,18.6759592506482,4.24647684973562,4.40300938771992
"23","K_2_10_1",6.41135836917881,13.4635453676861,2.09995208385311,6.44984374564688
"24","K_2_10_2",14.1655880019895,8.29084204713034,0.585280473070791,14.2277118117939
"25","K_2_10_3",15.7945226447979,6.01674111040041,0.380938458585331,15.7770309975005
"26","K_2_11_1",15.7552757886388,5.73574294117309,0.364052208169479,15.7845600384341
"27","K_2_11_2",14.4499096065047,4.62135701601763,0.319819095196091,14.4736375816925
"28","K_2_12_1",14.9165702438315,6.00845003339634,0.40280372332112,14.9640634409518
"29","K_2_12_2",14.1781615743305,7.00163863130321,0.493832616774492,14.1970126546438
"30","K_2_12_3",15.00363650945,6.08998910584776,0.405900869566655,15.0249474431339
"31","V_1_2_1",19.719547384079,5.07530536634918,0.25737433357354,19.7130292461952
"32","V_1_2_2",14.2946022685418,9.28796808152965,0.649753515840714,15.0710682840023
"33","V_1_2_3",13.7937982215865,8.80088486861566,0.63803201462254,14.0209576195889
"34","V_1_3_1",21.367723851938,3.12780174141865,0.146379734364405,21.3794840264434
"35","V_1_3_2",21.2200222191856,3.87394196258477,0.182560693036515,21.2502602774112
"36","V_1_3_4",22.1416300239844,4.84785962992236,0.21894772989482,22.1794218891815
"37","V_2_1_10",17.8128528279483,4.63124391146923,0.259994508246474,17.7945545452017
"38","V_2_1_11",17.0726062353634,4.31227209281923,0.252584288149691,17.0709985629548
"39","V_2_1_12",15.9653100661625,4.53145831220593,0.28383152556555,15.9693534784776
"40","V_2_3_1",15.5203556273665,8.00495334753247,0.515771258064321,15.5182825077193
"41","V_2_3_2",22.5234232939343,5.12401365869361,0.227497107869634,22.6735340021979
"42","V_2_3_3",8.50351613296742,13.1465875483559,1.54601782871766,8.49036550056479
"43","V_2_3_4",9.19378855700002,9.39576762394293,1.02196907898095,9.22299574983121
"44","V_2_3_5",9.44171761454214,11.4090899859756,1.2083701770961,9.50588566582039
"45","V_2_3_6",11.2345090879622,8.36423369142103,0.744512610736441,11.2598702066614
"46","V_2_3_7",17.9155878284189,3.23377068878995,0.180500395508113,17.9804614296665
"47","V_2_4_1",22.8513794219458,3.74388498183527,0.163836279320615,22.8092174760473
"48","V_2_4_2",17.6919418187126,4.36898945979939,0.246947989348367,17.7460493942986
"49","V_2_4_3",22.0850443161087,4.34772551471888,0.196862883881454,22.1908718256339
"50","V_2_4_4",17.3595209891218,4.19223229920279,0.241494699181493,17.3558849665352
"51","V_2_4_5",20.2589545572557,5.32232424888791,0.262714654591183,20.3813436015102
"52","V_2_5_1",17.0874467184713,8.00567195974411,0.468511890140385,17.2274475793248
"53","V_2_5_2",20.7473232619273,4.28338843081485,0.206454990686685,20.8075995629569
"54","V_2_5_3",19.0641329163224,4.65432921316819,0.244140619119542,19.1183885744051
"55","V_2_5_4",20.7545078624337,4.8052836979708,0.231529638275284,20.8302845954672
"56","V_4_1_1",16.340744495975,6.12287677177632,0.374699988319657,16.6670386790507
"57","V_4_1_2",21.3593069877853,2.94299290726085,0.137785037171096,21.3532595688704
