"","totalK","angle_of_deflection","arc_chord_ratio","chord_versine_ratio","X1.radius"
"totalK",NA,2.1360690993788e-12,6.94888591112885e-12,2.40252262528884e-12,0.00435970390787288
"angle_of_deflection",2.1360690993788e-12,NA,4.5763393075049e-12,4.24993438219445e-08,0.000764570695042988
"arc_chord_ratio",6.94888591112885e-12,4.5763393075049e-12,NA,5.13241573685264e-08,0.00180896269427566
"chord_versine_ratio",2.40252262528884e-12,4.24993438219445e-08,5.13241573685264e-08,NA,0.00318618104974444
"1/radius",0.00435970390787288,0.000764570695042988,0.00180896269427566,0.00318618104974444,NA
