"","arclength","total_curvature","species_individual_panicle_flower","adjusted_curvature"
"1",17.6431814956987,661.596822489916,"V_1_2_1",37.4987256494079
"2",11.3170738791434,930.084822456557,"V_1_2_2",82.1842140812246
"3",13.0930413882591,645.629497619949,"V_1_2_3",49.3108880110087
"4",16.7610903485112,448.067638712747,"V_1_3_1",26.7326068529036
"5",14.2405552823775,325.077606112734,"V_1_3_2",22.8275934236226
"6",16.6987431612955,524.982035533661,"V_1_3_4",31.4384160809461
"7",16.4182781613065,378.952834580962,"V_2_1_10",23.0811557008488
"8",16.9597791399166,349.552953438731,"V_2_1_11",20.6107019764203
"9",16.0687837088324,416.967148353319,"V_2_1_12",25.9488929534927
"10",12.7532744242374,791.344609831288,"V_2_3_1",62.0503082978714
"11",19.5766013344497,527.373052472925,"V_2_3_2",26.9389483630587
"12",8.06218642925558,971.271579316876,"V_2_3_3",120.472478258799
"13",8.99669532216412,648.358378482067,"V_2_3_4",72.0662815917286
"14",9.13128059037808,789.972222324541,"V_2_3_5",86.5127530038842
"15",11.0313666160516,606.019234201162,"V_2_3_6",54.9360070509627
"16",18.0739449376428,319.286884285922,"V_2_3_7",17.6655890779516
"17",21.6853121003701,436.968339196292,"V_2_4_1",20.1504288789478
"18",17.605781051137,356.901391466229,"V_2_4_2",20.2718294876886
"19",15.1554129801604,447.046435894042,"V_2_4_3",29.4974763458615
"20",17.3785317405362,382.986421057264,"V_2_4_4",22.0379043969481
"21",18.0944678460711,472.316657228181,"V_2_4_5",26.1028211078745
"22",12.2312620630536,731.86555861779,"V_2_5_1",59.8356534955214
"23",18.4538613203213,331.881485093217,"V_2_5_2",17.9843924982655
"24",18.7590616050433,368.625832555023,"V_2_5_3",19.6505475762135
"25",19.6314125889115,456.075124822219,"V_2_5_4",23.231905638814
"26",16.5369532502192,581.331018284833,"V_4_1_1",35.1534535708462
"27",19.6404159638661,373.2067028676,"V_4_1_2",19.0019754955402
