"","totalK","angle_of_deflection","arc_chord_ratio","chord_versine_ratio","X1.radius"
"totalK",1,0.77609051027593,0.838915283943142,-0.89519487841666,0.549237957722919
"angle_of_deflection",0.77609051027593,1,0.849468335508898,-0.800077845388472,0.652213973602756
"arc_chord_ratio",0.838915283943142,0.849468335508898,1,-0.86360723308045,0.641775106128387
"chord_versine_ratio",-0.89519487841666,-0.800077845388472,-0.86360723308045,1,-0.606857112398464
"1/radius",0.549237957722919,0.652213973602756,0.641775106128387,-0.606857112398464,1
