"","new_stage","species","emmean","SE","df","lower.CL","upper.CL"
"1","A","K",0.203233916373358,0.378569638120714,11.6308520699428,-1.05252143460075,1.45898926734746
"2","C","K",4.59528274240716,0.479897130600573,10.9008989189236,2.98069228568275,6.20987319913158
"3","G","K",3.13153094642164,0.356896722556979,8.56411461813694,1.85247378833313,4.41058810451015
"4","T","K",0.419896829723014,0.285759912138522,2.11599722154012,-2.78872277700535,3.62851643645138
"5","A","V",0.253840913333024,0.331157272448058,6.48258630247888,-1.05688712836166,1.56456895502771
"6","C","V",0.901596955462255,0.493324555459948,10.3871979687478,-0.77696719403134,2.58016110495585
"7","G","V",0.557485917193497,0.492259723121731,27.0512662219161,-0.897630199916019,2.01260203430301
"8","T","V",0.294861147947338,0.328828368584504,3.0822193497263,-1.88882514248613,2.47854743838081
