"","arclength","total_curvature","species_ID","adjusted_curvature"
"1",21.5305265959224,428.024853759265,"K_1_1_1",19.8799064134514
"2",19.6541590456862,244.796370646726,"K_1_2_1",12.455194347298
"3",20.3757313252642,270.551114241655,"K_1_4_3",13.278105699509
"4",15.7340996339965,609.996239293152,"K_1_6_1",38.7690591443275
"5",5.60272054277642,3020.33677804089,"K_1_6_2",539.083960190556
"6",17.3507289970039,424.691350957065,"K_1_6_3",24.4768592161401
"7",11.172132525866,635.98850294959,"K_1_7_1",56.9263299980673
"8",6.90618707311158,1190.47706043827,"K_1_8_1",172.378339572244
"9",8.89020251475405,1591.30805779619,"K_1_8_2",178.995703996087
"10",7.19745201553382,1089.13704419204,"K_1_8_3",151.322584970545
"11",21.5127646121753,270.68780353723,"K_1_9_1",12.5826600354299
"12",18.9966510128902,632.564665399836,"K_2_1_1",33.2987464459187
"13",14.2911724069679,696.133477101581,"K_2_3_1",48.7107325611838
"14",4.34137825697074,1338.35214208161,"K_2_3_2",308.278169480552
"15",3.53242659560337,1437.09517496667,"K_2_3_3",406.829451673631
"16",16.0990674016802,401.995985372224,"K_2_3_7",24.9701411480685
"17",6.44669914405141,1509.28571417736,"K_2_5_1",234.117597308699
"18",11.0281428156523,1069.31948223215,"K_2_7_1",96.9627887584537
"19",16.9670907156164,429.288882364267,"K_2_8_1",25.3012664079855
"20",21.6731162018872,179.196077475016,"K_2_8_2",8.26812701070703
"21",13.896969657613,863.76256398734,"K_2_9_1",62.1547420242192
"22",5.38338436753178,2293.3924036893,"K_2_9_2",426.013126151866
"23",4.1189193351999,3052.11583084412,"K_2_9_3",740.999175381035
"24",4.881347459132,4828.29166298472,"K_2_10_1",989.130911783789
"25",11.2065232624426,1463.13044954999,"K_2_10_2",130.560604327081
"26",14.6972924652187,620.227059942021,"K_2_10_3",42.2000896702434
"27",15.6095557705235,474.766077688394,"K_2_11_1",30.415092182503
"28",14.2003537041125,690.568471883496,"K_2_11_2",48.6303712057188
"29",14.7818884132259,492.013122958482,"K_2_12_1",33.2848624752342
"30",13.8581729956566,735.877618772077,"K_2_12_2",53.1006229322376
"31",14.726183601122,586.49611807771,"K_2_12_3",39.8267557952369
