"","radius","arcs","csize"
"shp1",13.8131747142568,24.0723854561243,6.97102986328489
"shp2",19.7328110833803,21.9523238752042,6.56123529417406
"shp3",10.4625933661146,17.6000932586691,5.14898274753824
"shp4",3.61417191622954,10.8205703623217,2.98559834291847
"shp5",10.0574831436584,18.3000855985123,5.34310462503403
"shp6",5.8915432565153,15.7241782373054,4.25124860207209
"shp7",3.50188376304734,10.4370644509025,2.69698734171566
"shp8",4.37151461241565,11.5315201531655,3.07413618077984
"shp9",3.91333995527555,8.2895234069804,2.30776903607408
"shp10",15.7049655135819,23.2904772726164,6.84932494374397
"shp11",11.0817104524696,22.3602517804262,6.23552720812777
"shp12",11.1067074900856,16.751740954742,4.94174684844585
"shp13",2.92680482908459,5.13296580622005,1.42880734750677
"shp14",2.25052254196838,4.1126578160099,1.14564196142232
"shp15",11.5598877132934,16.9952688866709,5.04067731905263
"shp16",3.92745081171376,10.2009328436548,2.71875213657351
"shp17",6.20008775050759,16.1558319223943,4.34872057660016
"shp18",10.5726033343242,19.1417432904805,5.49774589826732
"shp19",22.7670276402383,23.187938776355,6.9955513992611
"shp20",6.99944706826531,15.6747821865426,4.40317288408056
"shp21",3.21945915401336,6.65642136519395,1.86020763586889
"shp22",2.53208358958495,4.9594757616456,1.37831500544929
"shp23",3.51802692108495,7.12350781650102,1.99139751518833
"shp24",6.08565845422247,15.2692236716705,4.16791449185984
"shp25",9.63149576127829,16.8130264950334,4.89719960835969
"shp26",8.89694534139567,17.0170140094755,4.86583858976723
"shp27",10.5553606923345,15.4451914400525,4.56945056560805
"shp28",8.55270765698237,16.1810363217597,4.62579652432421
"shp29",7.27637663394716,15.3418191209367,4.3181283255357
"shp30",8.10148816159227,16.0989087458774,4.59418875312772
"shp31",9.52540984575008,21.1177745887547,5.93303061532364
"shp32",5.43936022367632,16.2184185950494,4.22038510820689
"shp33",6.25117753214367,14.9540502475392,4.14693502000309
"shp34",17.4150689289225,22.5086917570994,6.79327928980686
"shp35",13.2497235462709,22.6675649368477,6.63231030669131
"shp36",10.2078719646975,23.8850828866477,6.624028060869
"shp37",11.8539078539259,19.3323053912602,5.6307389272962
"shp38",14.7189584794979,18.5680853970787,5.48721650830307
"shp39",9.92374271928276,17.5062234778758,5.00481686691566
"shp40",6.45371688586099,16.4419445226932,4.5087141680985
"shp41",10.0064859320794,23.6475032146543,6.65627262983331
"shp42",4.23259436183946,9.17664378881133,2.57151671197352
"shp43",5.64037314080264,10.3106134458027,2.90830644037522
"shp44",5.10808918357366,10.4464507019252,2.93048144336908
"shp45",6.58710377932073,12.3559590881991,3.51065269685999
"shp46",15.654914782756,19.4177073594311,5.76467732451154
"shp47",13.9452050459703,24.3243795233038,7.0873356780164
"shp48",11.7588779478363,19.1218908749728,5.57498413485508
"shp49",12.2906700885715,23.240176367404,6.7800288293095
"shp50",11.3306330933995,19.0693106117065,5.4777235863265
"shp51",10.3534197695664,21.2809206613338,6.1487608884594
"shp52",5.9767045996998,18.234026321733,4.74410841096091
"shp53",14.7045934536882,22.0562460723474,6.55464570270337
"shp54",11.8102887427326,21.0187139876053,5.99790479079577
"shp55",10.8983684552951,22.2309872501963,6.34285505659686
"shp56",8.42306964069988,17.7389564826977,5.04273266286955
"shp57",17.8508690365326,22.874041183437,6.82513753486213
