"","chord","depth","theta"
"1",20.2468131232969,4.20264903686152,27.7737339934898
"2",19.4749963115386,2.75727820409055,17.8996568610515
"3",14.871187231394,3.1957047283277,28.3435508385285
"4",7.19855389574558,3.66320492861321,59.851008855587
"5",15.4832339681099,3.62218172159856,29.9832309560856
"6",11.366083759759,3.98080848543107,44.5711970489008
"7",6.97148756389585,2.77872123405244,50.4194424810572
"8",8.18674049443518,2.85981854325597,44.4170620943123
"9",6.40948387140916,1.74728250251415,34.9736037402996
"10",20.1114486814905,3.83240042796084,23.4681909233227
"11",17.6740730510991,4.45598015497875,31.8479307223717
"12",14.57432839006,2.6380646066104,23.2737654979214
"13",4.11028739252274,0.748094422846773,24.8425341908248
"14",3.34711226205904,0.565830201464514,22.0775662055915
"15",14.7649184238835,2.92203697085018,24.0344088777892
"16",7.23560500474178,2.45499603664762,43.5032462215528
"17",11.7065516530183,4.07083170478962,44.0884834819655
"18",15.8812836686337,3.35188889959654,28.4940125960194
"19",20.9474692753033,2.51088039894793,16.0230923938621
"20",12.3439950970723,3.62706720326877,37.4297089525374
"21",5.24262532206092,1.31585927419607,33.309506445748
"22",3.93489462415929,0.886365467336155,29.5191411054697
"23",5.5518010457491,1.55459175915293,32.9747412809615
"24",11.2685202865438,3.9601030224037,43.0131057794814
"25",14.0790144477608,3.12146856190507,29.5335689711076
"26",13.863003864093,3.42910455484616,31.7133412805908
"27",13.403689524398,2.58626608816442,23.748474155412
"28",13.1707284207965,3.21275458648488,31.3178313990595
"29",12.0847524241698,3.39844534872285,35.250003824952
"30",13.0498647063765,3.35749507524492,33.2099185831927
"31",16.957758769895,4.48093400751594,34.2690785696847
"32",10.741437241986,4.46893675059799,51.7655581430509
"33",11.2931447375126,3.51015456157718,40.6803509565121
"34",20.3390508205146,2.78010006772081,19.3920423331938
"35",19.4873223521903,3.77213206753811,25.5409173461713
"36",18.7243874728917,5.315425766051,36.2630235663136
"37",16.6249628005759,2.61364529278787,22.4779366588627
"38",16.1386895922653,2.34908810005446,19.6846043761859
"39",14.4850245509168,3.14286298616297,26.896247379699
"40",12.3492734207362,4.01296006224796,42.3809675478233
"41",18.5575301249619,5.68814471969978,39.5161643422253
"42",7.21487745489574,1.85175140230079,35.5285655687262
"43",8.39773957993762,1.66620958251333,26.6663455500833
"44",8.22637912349113,1.96958167082384,32.9878142697029
"45",10.0447854637029,2.2106754996094,29.4614031505572
"46",17.0402448615233,2.5862057577522,19.1481269644861
"47",20.6673725277859,4.14463002927682,27.617473245078
"48",16.1723060233039,3.36961220692979,26.3788819541215
"49",19.6299194006145,4.4598799838718,30.6348850227449
"50",15.9538147018865,3.13051611127064,25.2235348530405
"51",17.5370340707942,4.26505827851098,33.892323406517
"52",12.2473600598523,5.24735458923904,53.0532745001728
"53",19.2329673780048,3.13981146656233,23.9549611919015
"54",17.2115149425988,3.65440112653314,27.906225561013
"55",18.1015602624671,4.44013585790673,33.0160176456959
"56",13.9072402323574,4.17484443922497,36.1952508986102
"57",20.3541653700381,2.78991611229068,18.9466211081785
